,longitude,latitude,name,duration,hours,minutes
0,10.370917,55.379996,,0.0,0.0,0.0
1,9.661611,55.475298,Mørkholtvej,4275.7,1.0,11.0
2,9.687862,55.505284,Hindsgavl Allé,2662.1,0.0,44.0
3,9.678581,55.515167,,2693.6,0.0,44.0
4,9.670692,55.472912,Gl. Ålbovej,4762.7,1.0,19.0
5,9.703186,55.494457,Oddevejen,2642.3,0.0,44.0
6,9.689316,55.510059,Granhækken,2516.8,0.0,41.0
7,9.682573,55.51667,Galsklintvej,2569.7,0.0,42.0
8,9.71914,55.467743,,3109.3,0.0,51.0
9,9.734084,55.482744,,2469.1,0.0,41.0
10,9.719942,55.499603,Park Alle,2447.2,0.0,40.0
11,9.722128,55.508164,Havnegade,2493.2,0.0,41.0
12,9.751593,55.437439,Fønsskovvej,3001.0,0.0,50.0
13,9.751583,55.437586,Fønsskovvej,2993.6,0.0,49.0
14,9.738662,55.459481,Fønsskovvej,2917.3,0.0,48.0
15,9.740786,55.480118,,2512.9,0.0,41.0
16,9.73995,55.4902,Vejrøvænget,2421.9,0.0,40.0
17,9.743475,55.507249,,2345.3,0.0,39.0
18,9.757962,55.440896,Fønsskovvej,2743.6,0.0,45.0
19,9.758448,55.449421,Fønsskovvej,2726.0,0.0,45.0
20,9.75867,55.470742,,2344.8,0.0,39.0
21,9.761293,55.478434,,2333.9,0.0,38.0
22,9.759856,55.499779,,2206.7,0.0,36.0
23,9.759965,55.509973,Akelejehaven,2193.3,0.0,36.0
24,9.768069,55.527192,,2275.6,0.0,37.0
25,10.370917,55.379996,,0.0,0.0,0.0
26,9.760518,55.543599,,2428.5,0.0,40.0
27,9.798913,55.297615,Sandhammeren,4631.7,1.0,17.0
28,9.798817,55.320953,Sommerodden,4709.2,1.0,18.0
29,9.817662,55.369872,,3264.2,0.0,54.0
30,9.818775,55.375827,,3771.1,1.0,2.0
31,9.792252,55.411695,Rudvej,2476.7,0.0,41.0
32,9.794226,55.432088,Fønsskovvej,2450.0,0.0,40.0
33,9.78612,55.437615,Fønsskovvej,2407.0,0.0,40.0
34,9.788027,55.457728,Fjordvej,2374.8,0.0,39.0
35,9.791393,55.480279,Assensvej,2104.1,0.0,35.0
36,9.788706,55.490242,Hyllehøjvej,2011.7,0.0,33.0
37,9.788848,55.509609,Strib Landevej,2126.8,0.0,35.0
38,9.790186,55.519519,,2257.7,0.0,37.0
39,9.78992,55.540079,Røjlemosevej,2413.4,0.0,40.0
40,9.794328,55.54602,Provstskovvej,2680.6,0.0,44.0
41,9.810804,55.300214,Fiskerhusene,4474.2,1.0,14.0
42,9.809501,55.309986,Prinsehøjsvej,4510.4,1.0,15.0
43,9.812216,55.322316,Noret,4741.6,1.0,19.0
44,9.812685,55.359026,Rørdamsvej,3424.3,0.0,57.0
45,9.817662,55.369872,,3264.2,0.0,54.0
46,9.810058,55.411071,Rudvej,2341.1,0.0,39.0
47,9.803787,55.414244,Rudvej,2559.2,0.0,42.0
48,9.82075,55.440889,,2294.2,0.0,38.0
49,9.810096,55.450161,Ronæsskovvej,2198.7,0.0,36.0
50,10.370917,55.379996,,0.0,0.0,0.0
51,9.809396,55.469628,Assensvej,2107.7,0.0,35.0
52,9.809977,55.480142,,1982.3,0.0,33.0
53,9.806961,55.501475,,2070.0,0.0,34.0
54,9.813747,55.508128,,2097.7,0.0,34.0
55,9.812588,55.529198,,2508.0,0.0,41.0
56,9.80966,55.549954,,2679.8,0.0,44.0
57,9.823672,55.302378,Klintende,4574.7,1.0,16.0
58,9.816831,55.315962,,4766.7,1.0,19.0
59,9.840146,55.350758,Høstmarksvej,2567.1,0.0,42.0
60,9.827818,55.366521,Tybrindvej,3829.7,1.0,3.0
61,9.83123,55.379244,Husby Strandvej,2809.5,0.0,46.0
62,9.830984,55.399859,Jomfrumarken,2345.9,0.0,39.0
63,9.830052,55.410002,Skovløkken,2202.4,0.0,36.0
64,9.825668,55.429747,Ronæsbrovej,2109.0,0.0,35.0
65,9.829051,55.440378,,2100.0,0.0,35.0
66,9.828906,55.459325,Gammel Assensvej,2132.4,0.0,35.0
67,9.830198,55.479532,Gammel Landevej,1968.7,0.0,32.0
68,9.830211,55.490341,Fynske Motorvej,1790.8,0.0,29.0
69,9.826816,55.509062,,2257.2,0.0,37.0
70,9.827308,55.519099,,2253.6,0.0,37.0
71,9.834168,55.539747,Bolsvej,2444.9,0.0,40.0
72,9.828652,55.549933,Højskredvej,2640.1,0.0,44.0
73,9.860538,55.361244,Wedellsborgvej,2348.7,0.0,39.0
74,9.859813,55.370691,Storegade,2353.7,0.0,39.0
75,10.370917,55.379996,,0.0,0.0,0.0
76,9.855551,55.39099,Tybrindvej,2228.5,0.0,37.0
77,9.865409,55.411365,Sandmarksvej,2014.1,0.0,33.0
78,9.859539,55.419981,Assensvej,1935.3,0.0,32.0
79,9.859688,55.440106,,2131.1,0.0,35.0
80,9.866161,55.449449,,1964.7,0.0,32.0
81,9.856877,55.466695,Søndergaardsvej,1916.5,0.0,31.0
82,9.860663,55.480908,Vanghavevej,1824.1,0.0,30.0
83,9.858186,55.499795,Bogensevej,2044.6,0.0,34.0
84,9.86002,55.50886,Lavmosevej,2256.6,0.0,37.0
85,9.849162,55.52963,Klintholmvej,3301.9,0.0,55.0
86,9.846047,55.548094,Nyskovvej,2825.8,0.0,47.0
87,9.878914,55.245199,Torø,3137.5,0.0,52.0
88,9.882136,55.263769,,2509.5,0.0,41.0
89,9.883627,55.269715,Næsvej,2539.7,0.0,42.0
90,9.892212,55.290406,,2656.4,0.0,44.0
91,9.890886,55.299183,Aborg Strandvej,2585.0,0.0,43.0
92,9.883529,55.325674,,2717.4,0.0,45.0
93,9.877815,55.334536,,2698.3,0.0,44.0
94,9.879687,55.356136,,2358.2,0.0,39.0
95,9.882525,55.371084,Hovvej,2426.7,0.0,40.0
96,9.877059,55.377769,,2503.6,0.0,41.0
97,9.878952,55.399767,Fuglemosegyden,2171.0,0.0,36.0
98,9.880068,55.410022,Udbyvej,2023.5,0.0,33.0
99,9.87989,55.429401,Limosevej,1938.6,0.0,32.0
100,10.370917,55.379996,,0.0,0.0,0.0
101,9.881959,55.438676,,1959.5,0.0,32.0
102,9.880268,55.460106,Hjørnet,1813.1,0.0,30.0
103,9.880088,55.479987,Vestermarken,1941.0,0.0,32.0
104,9.879193,55.492406,,1987.2,0.0,33.0
105,9.881915,55.510186,,2175.1,0.0,36.0
106,9.91252,55.235024,Saltofte Strandvej,2617.7,0.0,43.0
107,9.903585,55.250093,Torø Huse Vej,2577.3,0.0,42.0
108,9.909917,55.269846,,2287.7,0.0,38.0
109,9.910118,55.279918,Kildensmindevej,2367.6,0.0,39.0
110,9.909989,55.300001,Rørmosevej,2428.1,0.0,40.0
111,9.909643,55.307578,Rørmosevej,2510.9,0.0,41.0
112,9.909993,55.332167,Filshuse,2450.1,0.0,40.0
113,9.910007,55.34,,2324.8,0.0,38.0
114,9.911323,55.360188,Nymarksvej,2141.6,0.0,35.0
115,9.912246,55.369179,Tanderupvej,2034.5,0.0,33.0
